,情熱的,強い,派手,元気,楽しい,かわいい,危険,落ち着いた,健康的,穏やかな,冷静,冷たい,気高い,神秘的,甘やか,自由な,純粋な,孤独な,寂しい,かっこいい
red,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
orange,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yellow,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
green,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
blue,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
purple,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0
pink,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
white,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0
gray,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
black,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1